title_f,title_r,sentiment_f_transformers,sentiment_r_transformers,sentiment_f_textblob,sentiment_r_textblob,sentiment_f_natural,sentiment_r_natural,sentiment_f_sentiment,sentiment_r_sentiment,heuristics
"Bill Gates: “I think Donald Trump will go down to history as one of the greatest presidents, just like Reagan.”","No, Bill Gates didn't tweet Donald Trump will be 'one of the greatest presidents'",POSITIVE,NEGATIVE,NEGATIVE,NEGATIVE,POSITIVE,NEGATIVE,NEUTRAL,NEUTRAL,True
Obama Orders Life-Sized Bronze Statute of Himself To Be Permanently Installed in White House,"No, Former President Obama Didn't Build a Statue of Himself for the White House",POSITIVE,NEGATIVE,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,True
"MITT ROMNEY: ‘TRUMP HAS SOME VERY SERIOUS EMOTIONAL PROBLEMS, HE MUST RESIGN BEFORE WE…’",NOT REAL NEWS: Mitt Romney did not call on Trump to resign,NEGATIVE,NEGATIVE,POSITIVE,POSITIVE,NEGATIVE,POSITIVE,NEUTRAL,NEUTRAL,False
FDA Announced That Vaccines Are Causing Autism,FDA did not issue new statement on vaccines and autism,NEGATIVE,NEGATIVE,NEGATIVE,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,False
Melania Trump Hired Exorcist To ‘Cleanse White House Of Obama Demons’,First lady did not hire exorcist for White House,NEGATIVE,NEGATIVE,NEGATIVE,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,False
Drake Can’t Stop Lusting After Rihanna Now That She’s Happy With New BF Hassan Jameel,"No, Drake Isn't 'Lusting After Rihanna,' Despite New Rumors",POSITIVE,POSITIVE,NEGATIVE,NEGATIVE,POSITIVE,NEUTRAL,NEUTRAL,NEUTRAL,True
People believe George Clooney is going to run for president in 2020,"No politics, please! George Clooney won't run for president, says he is not qualified enough ",POSITIVE,NEGATIVE,NEUTRAL,NEUTRAL,NEUTRAL,NEGATIVE,NEUTRAL,NEUTRAL,True
'This is McCarthyism!': Trump accuses Obama of 'wire-tapping' his office before election,Trump’s baseless wiretap claim,NEGATIVE,NEGATIVE,NEUTRAL,NEUTRAL,NEGATIVE,NEUTRAL,NEUTRAL,NEUTRAL,False
Kendall Jenner Not The ‘Boss From Hell’ Who Mistreats Her Employees [Debunked],Kendall Jenner was reportedly rude to waitress/Skins actress; 'threw' money in her face,NEGATIVE,NEGATIVE,POSITIVE,NEUTRAL,POSITIVE,NEGATIVE,NEUTRAL,NEUTRAL,False
"Fact-Check: No, Fall River, Massachusetts, Was Not ‘Built by Immigrants’",No surprise here; PolitiFact finds Breitbart's Fall River fact-check false,NEGATIVE,NEGATIVE,POSITIVE,NEUTRAL,POSITIVE,POSITIVE,NEUTRAL,NEUTRAL,True
Does Blake Shelton Have A Drinking Problem? New Details About The Fall He Took On Stage After Drinking 'A Lot',Blake Shelton says he's not a drunk and he didn't pee in public,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,POSITIVE,NEUTRAL,NEUTRAL,False
Oscar Pistorius Attempts To Commit Suicide,Oscar Pistorius denies attempting suicide in jail,NEGATIVE,NEGATIVE,POSITIVE,NEUTRAL,NEGATIVE,NEGATIVE,NEUTRAL,NEUTRAL,False
Why the Golden Globes doesn't have an In Memoriam segment,"No, the Golden Globes Didn't Forget the In Memoriam Segment...It Just Didn't Air on TV	",NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,POSITIVE,NEUTRAL,NEUTRAL,True
Did Beyoncé and Jay-Z Spend $10 Million on Their Newborn Twins?,Rumor Bust! Beyoncé and Jay-Z Have Not Spent $10M on Twins,NEGATIVE,NEGATIVE,NEGATIVE,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,False
Kris Jenner Offers Lamar Odom $20M To Scrap His Upcoming Memoir,Rumor Bust! Kris Jenner Did Not Offer Lamar Odom $20M to Scrap Tell-All,NEGATIVE,NEGATIVE,NEUTRAL,NEGATIVE,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,False
Queen orders Meghan Markle into royal bootcamp,Rumor Bust! Meghan Markle Not Ordered to Complete 'Royal Boot Camp',POSITIVE,NEGATIVE,NEGATIVE,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,False
New Law Makes it Illegal to Shower and Do Laundry on Same Day,"No, it’s not illegal take shower and do laundry on same day in California",NEGATIVE,POSITIVE,NEGATIVE,POSITIVE,NEGATIVE,POSITIVE,NEUTRAL,NEUTRAL,True
Mel Gibson: Hollywood Pedophiles Have Nowhere Left To Hide,There is no public evidence that Mel Gibson accused Hollywood of child sacrifices and paedophilia,NEGATIVE,NEGATIVE,NEUTRAL,NEUTRAL,NEGATIVE,POSITIVE,NEUTRAL,NEUTRAL,False
BREAKING: MALIA OBAMA EXPELLED FROM HARVARD,Fake news claims Malia Obama was expelled from Harvard for drug violation,NEGATIVE,NEGATIVE,POSITIVE,NEUTRAL,NEGATIVE,NEGATIVE,NEUTRAL,NEUTRAL,True
Jennifer Aniston's Pregnant! Or Is She? All The Baby Rumors Over Nearly 20 Years,"I am not pregnant, what I am is fed up: Jennifer Aniston",POSITIVE,NEGATIVE,POSITIVE,NEGATIVE,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,False
Will Jennifer Aniston And Brad Pitt Give Love A Second Chance?,Jennifer Aniston allegedly doubts she could get back together with Brad Pitt,POSITIVE,NEGATIVE,POSITIVE,NEGATIVE,POSITIVE,NEUTRAL,NEUTRAL,NEUTRAL,False
CONFIRMED: Brad Pitt and Jennifer Aniston - 'They're back on!',"Jennifer Aniston, Brad Pitt finally accept that they couldn’t get back together: Rumor",POSITIVE,NEGATIVE,NEUTRAL,NEGATIVE,POSITIVE,POSITIVE,NEUTRAL,NEUTRAL,False
"Inside Julia Roberts and Danny Moder’s ‘really solid, loving marriage’",Julia Roberts broke up with her husband,POSITIVE,NEGATIVE,NEUTRAL,NEGATIVE,POSITIVE,NEGATIVE,NEUTRAL,NEUTRAL,False
Is Kate Middleton having twins? Prince William had this to say - what is the likelihood?,Prince William Confirms Kate Middleton isn’t having twins,POSITIVE,NEGATIVE,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,False
Sandra Bullock’s Getting Hitched,Sandra Bullock 'Refuses' To Tie The Knot With Longtime Boyfriend Bryan Randall,POSITIVE,NEGATIVE,NEUTRAL,NEUTRAL,NEUTRAL,NEGATIVE,NEUTRAL,NEUTRAL,False
Caitlyn Jenner is planning a NUDE photo shoot,"No, Caitlyn Jenner is not posing nude",POSITIVE,NEGATIVE,NEUTRAL,NEUTRAL,NEGATIVE,NEUTRAL,NEUTRAL,NEUTRAL,True
Was Kanye involved with Amanda Lepore before Kim K.?,Kanye West Didn't Have Relationship With Transgender Artist Amanda Lepore,POSITIVE,NEGATIVE,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,False
Kris Jenner's fiance says she was sleeping with OJ Simpson,O.J. Simpson denies sleeping with Kris Jenner,NEGATIVE,NEGATIVE,NEUTRAL,NEUTRAL,NEUTRAL,NEGATIVE,NEUTRAL,NEUTRAL,False
"Sofia Vergara and Joe Manganiello Defend Marriage, SLAM Haters on Instagram",Sofía Vergara and Joe Manganiello divorcing after seven years of marriage,POSITIVE,NEGATIVE,NEUTRAL,NEUTRAL,NEGATIVE,NEUTRAL,NEUTRAL,NEUTRAL,False
Will Smith's wife Jada Pinkett Smith admits she had an affair with August Alsina,Jada Pinkett Smith insists she did not cheat on Will Smith: We’re in a ‘beautiful place’,NEGATIVE,POSITIVE,NEGATIVE,NEUTRAL,NEGATIVE,NEUTRAL,NEUTRAL,NEUTRAL,False
"Adele NOT Panicking About Entourage Missing Grammys, Despite Report",Why Adele Was So Nervous at the Grammys: How the Show Went Wrong for Her Last Year,POSITIVE,NEGATIVE,POSITIVE,POSITIVE,POSITIVE,NEGATIVE,NEUTRAL,NEUTRAL,False
Are Gwen Stefani & Blake Shelton Engaged In 2017? The Couple Has Been Going Strong For Years,Gwen Stefani Denies She's Engaged to Blake Shelton Despite Ellen DeGeneres Trying to Trick Her,POSITIVE,NEGATIVE,NEUTRAL,NEGATIVE,POSITIVE,NEGATIVE,NEUTRAL,NEUTRAL,False
Jennifer Aniston's shock news: Pregnant and in hiding,"Jennifer Aniston Slams 'Lies' She Wouldn't Have a Baby with Brad Pitt, Opens Up About Infertility",NEGATIVE,POSITIVE,NEUTRAL,NEGATIVE,NEGATIVE,NEGATIVE,NEUTRAL,NEUTRAL,False
Beyonce’s rep slams reports that Beyonce’s lips are not all-natural preggo-lips,"Beyoncé's Rep Shuts Down Claim the Mom-to-Be Had Lip Injections While Pregnant: 'You Are the Saddest Individuals'
",NEGATIVE,NEGATIVE,NEGATIVE,NEUTRAL,NEGATIVE,NEUTRAL,NEUTRAL,NEUTRAL,False
"Gayle King thinks Oprah is ""intrigued"" by idea of a presidential run",Oprah Winfrey Explains Why She Won't Run for President in 2020: 'It Would Kill Me',POSITIVE,NEGATIVE,NEUTRAL,NEUTRAL,POSITIVE,NEUTRAL,NEUTRAL,NEUTRAL,False
Teri Hatcher Broke And Homeless,"Teri Hatcher Denies That She's 'Broke, Homeless and Living Out' of Her Van: 'It's Totally Absurd'",NEGATIVE,NEGATIVE,POSITIVE,NEUTRAL,NEGATIVE,NEGATIVE,NEUTRAL,NEUTRAL,False
Miley Cyrus Jennifer Hudson Fighting,Miley Cyrus E Jennifer Hudson 'Fighting' No ‘The Voice’ Is Fake News,POSITIVE,NEGATIVE,POSITIVE,NEUTRAL,NEGATIVE,POSITIVE,NEUTRAL,NEUTRAL,True
Scott Disick Allegedly Got $2 Million For His Reaction To Kourtney Kardashian's Engagement On New Hulu Show ,Scott Disick Not Demanding $1 Million Per Episode To Appear On 'The Kardashians' Despite Reports,NEGATIVE,POSITIVE,NEUTRAL,NEGATIVE,POSITIVE,POSITIVE,NEUTRAL,NEUTRAL,False
"Julia Roberts NOT Forcing Danny Moder To Follow Detox Diet, Despite Report",Pretty Flabby Woman? Julia’s Detox Diet Driving Danny Moder Mad,POSITIVE,NEGATIVE,POSITIVE,NEUTRAL,POSITIVE,NEGATIVE,NEUTRAL,NEUTRAL,False
"Mandy Moore, Milo Ventimiglia NOT Feuding On ‘This Is Us’ Set, Despite Report",This Is Us' Bust! Mandy Moore & Milo Ventimiglia's On-Set Feud Shaking Up Show,POSITIVE,NEGATIVE,NEUTRAL,NEUTRAL,NEGATIVE,POSITIVE,NEUTRAL,NEUTRAL,False
Paris Jackson ’ s Family Trying To Send Her Back To Rehab  Report,Paris Jackson Denies Having a ‘Meltdown’ Over Michael Jackson Documentary Controversy,NEGATIVE,NEGATIVE,NEUTRAL,NEUTRAL,POSITIVE,NEGATIVE,NEUTRAL,NEUTRAL,False
Vanessa Kirby shoots down Tom Cruise marriage rumors,"Vanessa Kirby, Tom Cruise didn't discuss wedding rumours",NEGATIVE,NEGATIVE,NEUTRAL,POSITIVE,NEGATIVE,NEUTRAL,NEUTRAL,NEUTRAL,False
Jennifer Garner And Josh Duhamel Have Been Secretly Dating For Months,Josh Duhamel: I’m Not Hooking Up With Jennifer Garner!,POSITIVE,NEGATIVE,NEUTRAL,POSITIVE,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,False
Obama Administration Kept Illegal Mexican Kids In Detention Camps As “Experiment”,President Trump Falsely Claims Obama Began Migrant Family Separations,NEGATIVE,NEGATIVE,POSITIVE,POSITIVE,NEGATIVE,NEGATIVE,NEUTRAL,NEUTRAL,True
Are Selena Gomez & The Weeknd Working On A Movie Together?,Selena Gomez not collaborating with The Weeknd,POSITIVE,NEGATIVE,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,False
Mike Tyson Offered SERIOUS Ca$h To Fight Russian Dictator Vladimir Putin,Mike Tyson won't intervene in Russian President Vladimir Putin's invasion of Ukraine,NEGATIVE,NEGATIVE,NEUTRAL,POSITIVE,NEGATIVE,POSITIVE,NEUTRAL,NEUTRAL,False
Beckham divorced his wife. David and Victoria Beckham,David and Victoria Beckham Shut Down Rumors That They're Getting a Divorce,NEGATIVE,POSITIVE,POSITIVE,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,False
Victoria & David Beckham Heartbreaking $1 Billion Divorce? The Truth,David and Victoria Beckham Shut Down Rumors That They're Getting a Divorce,NEGATIVE,POSITIVE,POSITIVE,NEUTRAL,NEGATIVE,NEUTRAL,NEUTRAL,NEUTRAL,False
YogaEsoteric :: Macaulay Culkin: ‘Satanic’ Hollywood Execs Ritually Murder Child Actors ::,Article details fake Macaulay Culkin ‘satanic Hollywood’ revelations,NEGATIVE,NEGATIVE,POSITIVE,NEUTRAL,NEGATIVE,NEGATIVE,NEUTRAL,NEUTRAL,True
Trump warns Russia over Jehovah’s Witnesses ban and urges members to seek asylum in the US,Trump Did Not Ask Jehovah's Winesses In Russia To Seek Asylum In The US,POSITIVE,NEGATIVE,NEUTRAL,NEUTRAL,NEUTRAL,NEGATIVE,NEUTRAL,NEUTRAL,False
"No, ZAYN Is Not 'Desperate To Defend' Girlfriend Gigi Hadid",Zayn Malik defends Gigi Hadid after 'racist' Snapchat video,NEGATIVE,POSITIVE,NEUTRAL,NEGATIVE,POSITIVE,NEGATIVE,NEUTRAL,NEUTRAL,False
Are Nicole Kidman and Keith Urban headed for divorce?,Nicole Kidman and Keith Urban divorce rumours unfounded,NEGATIVE,NEGATIVE,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,False
Pregnant Kourtney Kardashian Hangs out With Justin Bieber Amid Baby Daddy Drama,Kourtney Kardashian's Called Off Her Rumoured ‘Fling’ With Justin Bieber For Scott Disick,POSITIVE,NEGATIVE,NEUTRAL,NEGATIVE,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,False
"Despite Rihanna-Leonardo DiCaprio rumors, actor is single, rep says",Very friendly exes! Rihanna and Leonardo DiCaprio seen 'kissing' while both enjoying night out in same Parisian nightclub,NEGATIVE,POSITIVE,NEGATIVE,POSITIVE,NEUTRAL,POSITIVE,NEUTRAL,NEUTRAL,False
Angelina Jolie & Jared Leto Dating After Brad Pitt Divorce — Report,Angelina Jolie 'is NOT dating' castmate Jared Leto following divorce from Brad Pitt,POSITIVE,NEGATIVE,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,False
Are Brad Pitt and Jennifer Lawrence dating?,It is completely false': Brad Pitt is NOT dating Jennifer Lawrence despite claims they 'have an intense connection',POSITIVE,NEGATIVE,POSITIVE,NEUTRAL,NEUTRAL,NEGATIVE,NEUTRAL,NEUTRAL,True
Brad Pitt & Neri Oxman: Amal Clooney Reportedly Introduced Brad To His New Gal Pal,Brad Pitt is 'not ready to leap into a serious relationship with MIT professor Neri Oxman as he focuses on his six children and career',POSITIVE,NEGATIVE,POSITIVE,NEGATIVE,NEUTRAL,NEGATIVE,NEUTRAL,NEUTRAL,False
"Brad Pitt And Angelina Jolie’s Divorce Stalls Again, His Relationship With Neri Oxman To Blame?",Brad Pitt is 'not ready to leap into a serious relationship with MIT professor Neri Oxman as he focuses on his six children and career',NEGATIVE,NEGATIVE,POSITIVE,NEUTRAL,NEGATIVE,NEGATIVE,NEUTRAL,NEUTRAL,False
Brad Pitt and Jennifer Aniston 'busted' over Aspen reunion,"Sorry But Jennifer Aniston and Brad Pitt Are Never Ever, Ever Getting Back Together",NEGATIVE,NEGATIVE,POSITIVE,NEUTRAL,NEUTRAL,NEGATIVE,NEUTRAL,NEUTRAL,False
Robert Pattinson confirms he's 'kind of' engaged to singer FKA Twigs,Robert Pattinson and FKA Twigs Have Officially Broken Up,POSITIVE,NEGATIVE,POSITIVE,NEGATIVE,POSITIVE,NEGATIVE,NEUTRAL,NEUTRAL,False
"Emma Stone, Justin Theroux Caught Showing PDA? #emmastone #emmastoneofficial #emmastones #emmastonearmy #emmastoneandandrewgarfield #e…",Emma Stone Shuts Down That Justin Theroux Rumor,POSITIVE,NEGATIVE,POSITIVE,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,False
Pippa Middleton Refuses To Invite Meghan Markle To Wedding?,"Pippa Middleton Reluctantly Invited Meghan Markle to Her Wedding, Was Afraid She Would 'Overshadow' Her",NEGATIVE,NEGATIVE,POSITIVE,NEUTRAL,NEGATIVE,NEGATIVE,NEUTRAL,NEUTRAL,False
All The Signs Kourtney Kardashian & Scott Disick Are Getting Back Together,"Meghan Markle is invited to Pippa Middleton's wedding, kind of",POSITIVE,POSITIVE,NEGATIVE,NEUTRAL,POSITIVE,POSITIVE,NEUTRAL,NEUTRAL,False
Are Darren Aronofsky and Suki Waterhouse dating?,Darren Aronofsky and Suki Waterhouse's Reps Shoot Down Dating Rumors,POSITIVE,NEGATIVE,POSITIVE,NEUTRAL,NEUTRAL,NEGATIVE,NEUTRAL,NEUTRAL,False
BABY NEWS! Rihanna is PREGNANT and she's pretty far along — Click to see her baby bump!,"Shutup, Rihanna Is Not Pregnant Or Fat",POSITIVE,POSITIVE,POSITIVE,NEGATIVE,POSITIVE,NEUTRAL,NEUTRAL,NEUTRAL,False
Rihanna Laughing Off Pregnancy Rumors: “She’s Not Even Trying” — Report,"Shutup, Rihanna Is Not Pregnant Or Fat",NEGATIVE,POSITIVE,POSITIVE,NEUTRAL,POSITIVE,NEUTRAL,NEUTRAL,NEUTRAL,False
Nina Dobrev & Orlando Bloom Are ‘More Than Friends’ — Is He Already Over Katy Perry?,"Nina Dobrev and Orlando Bloom Not Dating, 'Just Friends,' Source Says",POSITIVE,NEGATIVE,NEUTRAL,NEGATIVE,POSITIVE,NEGATIVE,NEUTRAL,NEUTRAL,False
"Nina Dobrev and Orlando Bloom Are ""Casually Dating"" (REPORT)","Nina Dobrev and Orlando Bloom Not Dating, 'Just Friends,' Source Says",POSITIVE,NEGATIVE,NEUTRAL,POSITIVE,NEUTRAL,NEGATIVE,NEUTRAL,NEUTRAL,False
Selena Gomez ’ s Friends NOT Upset About Justin Bieber Reunion  Despite Report,"Selena Gomez's Friends Still Don't Approve of Justin Bieber, Source Says (Exclusive)",POSITIVE,NEGATIVE,NEUTRAL,NEUTRAL,POSITIVE,POSITIVE,NEUTRAL,NEUTRAL,False
Jennifer Lopez Snubbed Vanessa Hudgens On ‘ Second Act ’ Set ,Vanessa Hudgens Says Working With Jennifer Lopez Was 'Magical',NEGATIVE,POSITIVE,NEGATIVE,NEUTRAL,NEGATIVE,NEUTRAL,NEUTRAL,NEUTRAL,False
Johnny Depp Concerned About Aging: He’s Having A Mid-Life Crisis,No midlife crisis for Johnny Depp at 50,NEGATIVE,POSITIVE,NEUTRAL,NEUTRAL,NEGATIVE,POSITIVE,NEUTRAL,NEUTRAL,True
Breaking: Crew Of Air Force One Refuses To Fly Obama 6000 Miles ‘Just To Play Golf’ – BuzzfeedUSA,Plane Crew Didn’t Rebuff Obama,NEGATIVE,POSITIVE,NEUTRAL,NEGATIVE,NEGATIVE,NEUTRAL,NEUTRAL,NEUTRAL,False
TRUMP WANTS TO DEPORT AMERICAN INDIANS TO INDIA,Trump Not Deporting Native Americans,NEGATIVE,POSITIVE,NEUTRAL,NEGATIVE,NEGATIVE,POSITIVE,NEUTRAL,NEUTRAL,False
Spicer: “Trump Has The Legal Right To Cancel SCOTUS Because They Serve At His Pleasure”,A Fake Sean Spicer Quote,NEGATIVE,NEGATIVE,POSITIVE,NEGATIVE,POSITIVE,NEGATIVE,NEUTRAL,NEUTRAL,True
Clinton Foundations Sends Water To Houston For $7 A Bottle,Clinton Foundation Isn’t Charging FEMA,NEGATIVE,POSITIVE,NEUTRAL,NEUTRAL,NEUTRAL,NEGATIVE,NEUTRAL,NEUTRAL,False
BREAKING: President Trump Signs Executive Order Stripping NFL Of ‘Non-Profit’ Status,Trump Didn’t Change NFL Tax Status,NEGATIVE,NEGATIVE,NEUTRAL,NEUTRAL,POSITIVE,NEUTRAL,NEUTRAL,NEUTRAL,False
"Singer Dolly Parton: “Trump In One Year Is Already Better Than 16 Years’ of Bush, Obama ‘Put Together’, This Stupid Liberals Doing Everything To Impeach Him But We Standing With Trump now And Forever.",Parton Me? Dolly Didn’t Praise Trump,POSITIVE,NEGATIVE,NEUTRAL,POSITIVE,NEGATIVE,POSITIVE,NEUTRAL,NEUTRAL,False
Court Orders Obama To Pay $400 Million In Restitution,Obama Not Ordered to Pay $400M Restitution,POSITIVE,NEGATIVE,NEUTRAL,NEUTRAL,NEGATIVE,POSITIVE,NEUTRAL,NEUTRAL,False
OBAMA’S PRIVATE ‘SECURITY’ COMPANY SETS UP MASSIVE CAMPS OUTSIDE 3 MAJOR CITIES,Obama’s Private ‘Military’ Doesn’t Exist,NEGATIVE,NEGATIVE,POSITIVE,NEGATIVE,POSITIVE,NEUTRAL,NEUTRAL,NEUTRAL,False
Trump’s DHS Secretary Confirms They Are Preparing To Arrest Sanctuary City Leaders,No Arrests of ‘Sanctuary City’ Leaders,NEGATIVE,NEGATIVE,NEUTRAL,POSITIVE,NEGATIVE,POSITIVE,NEUTRAL,NEUTRAL,True
BREAKING: Shep Smith To Be Canned Because He Can’t Control His Hate For Donald Trump,Fox News’ Shepard Smith Hasn’t Been Fired,NEGATIVE,NEGATIVE,NEUTRAL,POSITIVE,NEGATIVE,NEGATIVE,NEUTRAL,NEUTRAL,False
Matt Damon’s publicist forced to deny reports actor is moving to Australia because he can't stand Donald Trump,Matt Damon Not Moving to Avoid Trump,NEGATIVE,NEGATIVE,NEUTRAL,POSITIVE,NEGATIVE,POSITIVE,NEUTRAL,NEUTRAL,False
"Angelina Jolie: ‘It’s Strange, I Never Wanted to Have a Baby’",Angelina Jolie wants to adopt another child years after Brad Pitt divorce?,NEGATIVE,NEGATIVE,NEGATIVE,POSITIVE,NEGATIVE,POSITIVE,NEUTRAL,NEUTRAL,False
Ariel Winter Getting Engaged? She’s Hoping For A Christmas Proposal From BF Levi Meaden,Ariel Winter and Levi Meaden have officially broken up,POSITIVE,NEGATIVE,POSITIVE,NEUTRAL,POSITIVE,NEGATIVE,NEUTRAL,NEUTRAL,False
Selena Gomez Pregnant With The Weeknd’s Baby & Racing to Marry? — Report,Selena Gomez says she may not be able to carry children ,POSITIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,False
Lady Gaga Reveals Plan To Cover Her Face Again “Until Trump Gets Fired From Office And I Feel Free Once More”,"No, Lady Gaga will not cover her face until Trump is fired",NEGATIVE,NEGATIVE,NEUTRAL,NEGATIVE,NEUTRAL,POSITIVE,NEUTRAL,NEUTRAL,True
"Ariana Grande Is Not Calling Off Her Wedding To Pete Davidson, Despite Tabloid Report",Ariana Grande and Pete Davidson Have Ended Their Engagement and I'm Already Crying,POSITIVE,NEGATIVE,POSITIVE,NEUTRAL,POSITIVE,POSITIVE,NEUTRAL,NEUTRAL,False
Hailey Baldwin worries Selena Gomez will never get over Justin Bieber,Selena Gomez Says Her Breakup with Justin Bieber Was the “Best Thing That Ever Happened to Me”,NEGATIVE,POSITIVE,NEGATIVE,NEUTRAL,NEGATIVE,POSITIVE,NEUTRAL,NEUTRAL,False
"Selena Gomez ""Sad"" About Justin Bieber Breakup, Says Source",Selena Gomez Says Her Breakup with Justin Bieber Was the “Best Thing That Ever Happened to Me”,NEGATIVE,POSITIVE,NEGATIVE,POSITIVE,NEGATIVE,POSITIVE,NEUTRAL,NEUTRAL,False
